"process","application_category","prevalence","sha256","os_info"
"Brave Browser","browser","0.17","B85BCCF72B68E232DC63FB699703D94425DE5810271A60FD8B9FEC106CD6B905","@{(Mac OS X)(Unknown)(10.14.0)=1.0}"
"Brave Browser","browser","1.0","7128E8D9FBFB3A1B1216FD33F5108DF6ADD0FEF19A1EA53785F9967AC6D6271A","@{(Mac OS X)(Unknown)(10.14.3)=1.0}"
"Brave Browser","browser","1.0","0981D796EA8F048E60A08BC7A6F8C954C7E859BF64BBDBF08E6A340D6B95EC6F","@{(Mac OS X)(Mojave)(10.14.3)=1.0}"
"Brave Browser","browser","1.0","7128E8D9FBFB3A1B1216FD33F5108DF6ADD0FEF19A1EA53785F9967AC6D6271A","@{(Mac OS X)(Unknown)(10.14.3)=1.0}"
"browser.exe","browser","0.04","0B2D368414AE203F8D4C2FDA6ABE88716F48F14527058BCCF306B7F75665B14B","@{(WinNT)(Windows 10 Enterprise)(10.0.15063)=1.0}"
"browser.exe","browser","0.06","5C3534B0F44A20963684D2547C7C6AAAD08CDB1A925FD5244D11EC99EC145DC0","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.12","5C3534B0F44A20963684D2547C7C6AAAD08CDB1A925FD5244D11EC99EC145DC0","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.12","5C3534B0F44A20963684D2547C7C6AAAD08CDB1A925FD5244D11EC99EC145DC0","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.14","ABEBE172298868CCC5F33918034B4D5751C3193CAFD7B5087F637ACAE3FEB5B9","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.14","5C3534B0F44A20963684D2547C7C6AAAD08CDB1A925FD5244D11EC99EC145DC0","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.15","ABEBE172298868CCC5F33918034B4D5751C3193CAFD7B5087F637ACAE3FEB5B9","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.16","ABEBE172298868CCC5F33918034B4D5751C3193CAFD7B5087F637ACAE3FEB5B9","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.17","4DB7B680410044809B28CE0FB66315A19910FDE2357B1A8C835A5F6C50DF88E6","@{(WinNT)(Windows 10 Enterprise)(10.0.15063)=1.0}"
"browser.exe","browser","0.18","ABEBE172298868CCC5F33918034B4D5751C3193CAFD7B5087F637ACAE3FEB5B9","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.23","5C3534B0F44A20963684D2547C7C6AAAD08CDB1A925FD5244D11EC99EC145DC0","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.29","5C3534B0F44A20963684D2547C7C6AAAD08CDB1A925FD5244D11EC99EC145DC0","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.29","ABEBE172298868CCC5F33918034B4D5751C3193CAFD7B5087F637ACAE3FEB5B9","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.3","4DB7B680410044809B28CE0FB66315A19910FDE2357B1A8C835A5F6C50DF88E6","@{(WinNT)(Windows 10 Enterprise)(10.0.15063)=1.0}"
"browser.exe","browser","0.33","4DB7B680410044809B28CE0FB66315A19910FDE2357B1A8C835A5F6C50DF88E6","@{(WinNT)(Windows 10 Enterprise)(10.0.15063)=1.0}"
"browser.exe","browser","0.38","ABEBE172298868CCC5F33918034B4D5751C3193CAFD7B5087F637ACAE3FEB5B9","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.48","E24C31908185A3A056AAC2E4C442F11B3C2C00BDFA79CAC842CFC9C2C8BB5635","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.49","E24C31908185A3A056AAC2E4C442F11B3C2C00BDFA79CAC842CFC9C2C8BB5635","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.57","E24C31908185A3A056AAC2E4C442F11B3C2C00BDFA79CAC842CFC9C2C8BB5635","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.72","E24C31908185A3A056AAC2E4C442F11B3C2C00BDFA79CAC842CFC9C2C8BB5635","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.72","E24C31908185A3A056AAC2E4C442F11B3C2C00BDFA79CAC842CFC9C2C8BB5635","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","0.76","E24C31908185A3A056AAC2E4C442F11B3C2C00BDFA79CAC842CFC9C2C8BB5635","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"browser.exe","browser","1.0","ABEBE172298868CCC5F33918034B4D5751C3193CAFD7B5087F637ACAE3FEB5B9","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"chrome.exe","browser","0.0","5942F7D2151A7C4C86564AF15E037729DDA9CA3D8AE7841966E9C800744C8AFC","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"chrome.exe","browser","0.0","2AD6823E4ED4920385A098F4510975B28C24DF80F1A22F677A6067D84657A5F1","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"chrome.exe","browser","0.0","B18AA0C98922563F5996FB0497446873F7030D0511FFB77388EA882B4F98A900","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"chrome.exe","browser","0.0","B18AA0C98922563F5996FB0497446873F7030D0511FFB77388EA882B4F98A900","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"chrome.exe","browser","0.0","CD29E326784607C9C9706445F8BCE7957BAA92E77B677EC26866123ED8FFCCAA","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"chrome.exe","browser","0.0","B18AA0C98922563F5996FB0497446873F7030D0511FFB77388EA882B4F98A924","@{(WinNT)(Windows 10 Enterprise)(10.0.10586)=1.0}"
"chrome.exe","browser","0.0","072228D83FEB4E4A9D0C16191E09B57D0CA66C483B1B81BB68AC4C27446EF172","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"chrome.exe","browser","0.0","36D007B405FE48FE7C27FB01085E2E322BA9EC78EAABC6DDE50632E2C30238D1","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"chrome.exe","browser","0.0","FD8C15460ABCDA6B44FB970A84426617368BB2925F0C2B9E410DFF20FEB923D1","@{(WinNT)(Windows 10 Enterprise)(10.0.14393)=1.0}"
"chrome.exe","browser","0.0","2AD6823E4ED4920385A098F4510975B28C24DF80F1A22F677A6067D84657A5F1","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"chrome.exe","browser","0.0","2DED57E5222213D3BCD434B1ECE36A3CBA647403D56D5887770AF671C4D5CE15","@{(WinNT)(Windows 10 Enterprise)(10.0.17134)=1.0}"
"chrome.exe","browser","0.0","96D047BA0014E7FB87712A36600E22B0CA016893E5929B9FF251A3E24C8D92D5","@{(WinNT)(Windows 10 Professional)(10.0.17134)=1.0}"
